STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :mph
STR_UNIT_NAME_VELOCITY_METRIC                                   :km/h
STR_UNIT_NAME_VELOCITY_SI                                       :m/s
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :casillas/día

STR_BUTTON_RENAME                                               :{BLACK}Renombrar

STR_VEHICLE_TYPE_TRAINS                                         :Trenes
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :Vehículos de carretera
STR_VEHICLE_TYPE_SHIPS                                          :Barcos
STR_VEHICLE_TYPE_AIRCRAFT                                       :Aeronaves

STR_CONFIG_SETTING_AUTOSAVE                                     :Autoguardado: {STRING}
STR_CONFIG_SETTING_AUTOSAVE_HELPTEXT                            :Selecciona el intervalo entre guardados automáticos del juego

STR_CONFIG_SETTING_TIMETABLE_IN_TICKS                           :Mostrar horario en tics en vez de en días: {STRING}
STR_CONFIG_SETTING_TIMETABLE_IN_TICKS_HELPTEXT                  :Muestra los tiempos de viaje en los horarios en tics en lugar de en días

STR_TRANSPARENT_LOADING_TOOLTIP                                 :{BLACK}Ajustar transparencia para los indicadores de carga. Ctrl+clic para bloquear

STR_LINKGRAPH_STATS_TOOLTIP_TIME_EXTENSION_GENERAL              :{}Tiempo de viaje promedio: {STRING}
STR_LINKGRAPH_STATS_TOOLTIP_CAPACITY                            :{}Capacidad: {CARGO_LONG}

# Tracerestrict GUI

# Programmable Pre-Signals

#House construction window (for SE only)

#Town select window (for SE only)

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}Altura cota nieve:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}Sube la cota de nieve una unidad
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}Baja la cota de nieve una unidad
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}Cambiar la altura de la cota de nieve

# Town tooltip

STR_PURCHASE_INFO_DESIGNED                                      :{BLACK}Diseñado en: {GOLD}{NUM}

STR_ORDERS_GO_TO_TOOLTIP_EXTRA                                  :{BLACK}Añade una nueva orden antes de la orden resaltada, o la añade al final de la lista. Ctrl+clic sobre estaciones ordena 'Carga completa de cualquier carga', sobre puntos de ruta ordena 'sin paradas' y sobre depósitos ordena 'mantenimiento'. Clica sobre un vehículo para copiar sus órdenes, o Ctrl+clic para también compartir sus órdenes. Una órden de depósito desactiva el mantenimiento automático del vehículo

STR_TIMETABLE_ARRIVAL_ABBREVIATION                              :Ll:
STR_TIMETABLE_DEPARTURE_ABBREVIATION                            :S:

# Cargo type orders Window

# Plans window

# Clear area query

# Plan related errors

STR_TRADITIONAL_TRAIN_NAME                                      :Tren {COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :Vehículo de carretera {COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :Barco {COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :Aeronave {COMMA}

# Scheduled Dispatch

# Modifier key toggle window

STR_CONFIG_SETTING_ALLOW_SHARES                                 :Permitir comprar acciones de otras empresas: {STRING}
STR_CONFIG_SETTING_ALLOW_SHARES_HELPTEXT                        :Cuando se activa, permite comprar y vender acciones de empresas. Las acciones de una empresa solamente estarán disponibles cuando la empresa cumpla una edad determinada

STR_CONFIG_SETTING_MIN_YEARS_FOR_SHARES                         :Edad mínima de una empresa para comerciar con sus acciones: {STRING}
STR_CONFIG_SETTING_MIN_YEARS_FOR_SHARES_HELPTEXT                :Edad mínima que tiene que tener una empresa para poder comprar y vender sus acciones.

STR_COMPANY_VIEW_SHARES_OWNED_BY                                :{WHITE}({COMMA}% propiedad de {COMPANY})

STR_COMPANY_VIEW_BUY_SHARE_BUTTON                               :{BLACK}Comprar un 25% de sus acciones
STR_COMPANY_VIEW_SELL_SHARE_BUTTON                              :{BLACK}Vender 25% de acciones
STR_COMPANY_VIEW_BUY_SHARE_TOOLTIP                              :{BLACK}Comprar un 25% de acciones de esta empresa. Mayús+clic muestra una estimación del precio sin comprar ninguna acción
STR_COMPANY_VIEW_SELL_SHARE_TOOLTIP                             :{BLACK}Vender un 25% de acciones de esta empresa. Mayús+clic muestra una estimación del beneficio sin vender ninguna acción

STR_ERROR_CAN_T_BUY_25_SHARE_IN_THIS                            :{WHITE}No se puede comprar el 25% de acciones...
STR_ERROR_CAN_T_SELL_25_SHARE_IN                                :{WHITE}No se puede vender el 25% de acciones...
STR_ERROR_PROTECTED                                             :{WHITE}Esta empresa es demasiado reciente como para comerciar con acciones...
